C:\Python27\python.exe C:/Users/Elena/PycharmProjects/TVSpeed/data_processing.py
Gossip Girl , average , 126.825128291
Chuck , 1 , 113.194012383
Chuck , 3 , 110.064723641
Chuck , 2 , 109.074432458
Chuck , average , 110.777722827
12 Monkeys , 1 , 72.3590791633
12 Monkeys , 2 , 77.8695551
12 Monkeys , average , 75.1143171317
Crazy Ex-Girlfriend , 1 , 120.427218831
Crazy Ex-Girlfriend , 2 , 123.941358367
Crazy Ex-Girlfriend , average , 122.184288599
Crossing Lines , 1 , 94.48255813
Crossing Lines , 2 , 100.972761848
Crossing Lines , average , 97.7276599889
Supergirl , 1 , 105.946509123
Supergirl , 2 , 108.298490133
Supergirl , average , 107.122499628
Criminal Minds: Beyond Borders , 1 , 120.493505954
Criminal Minds: Beyond Borders , average , 120.493505954
Halt and Catch Fire , 1 , 98.7338501233
Halt and Catch Fire , 3 , 99.842524185
Halt and Catch Fire , 2 , 102.879762259
Halt and Catch Fire , average , 100.485378856
Shades of Blue , 1 , 112.50575858
Shades of Blue , average , 112.50575858
Lost Girl , 1 , 101.978956224
Lost Girl , 3 , 84.5206349229
Lost Girl , 2 , 99.3851851883
Lost Girl , 4 , 88.744444445
Lost Girl , average , 93.6573051952
The Exorcist , 1 , 77.596594798
The Exorcist , average , 77.596594798
Second Chance , 1 , 102.691754748
Second Chance , average , 102.691754748
The Tomorrow People , 1 , 99.0836101874
The Tomorrow People , average , 99.0836101874
Gilmore Girls , 1 , 171.287519244
Gilmore Girls , 3 , 198.27770272
Gilmore Girls , 2 , 193.743225138
Gilmore Girls , 5 , 196.980179714
Gilmore Girls , 4 , 191.132960558
Gilmore Girls , 7 , 143.433786867
Gilmore Girls , 6 , 204.0601979
Gilmore Girls , average , 185.559367449
Miss Fisher's Murder Mysteries , 1 , 95.2761540825
Miss Fisher's Murder Mysteries , 2 , 101.921490138
Miss Fisher's Murder Mysteries , average , 98.59882211
Major Crimes , 1 , 129.763389711
Major Crimes , 3 , 137.874866188
Major Crimes , 2 , 133.763937612
Major Crimes , 5 , 141.357142882
Major Crimes , 4 , 138.17374453
Major Crimes , average , 136.186616185
I Am Cait , 1 , 162.246212117
I Am Cait , 2 , 154.453488367
I Am Cait , average , 158.349850242
Billions , 1 , 108.518248723
Billions , 2 , 116.62296365
Billions , average , 112.570606186
Queen Sugar , 1 , 93.6499483164
Queen Sugar , average , 93.6499483164
Frequency , 1 , 104.426963272
Frequency , average , 104.426963272
The Expanse , 1 , 84.1955518667
The Expanse , 2 , 98.3668789367
The Expanse , average , 91.2812154017
Elementary , 1 , 137.139786225
Elementary , average , 137.139786225
Designated Survivor , 1 , 128.2085744
